,CLASSNAME,landfire140,landfire200,tau,k
873,California Lower Montane Blue Oak Woodland and Savanna,,7264,,
874,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,,7265,,
876,California Ruderal Grassland and Meadow,,9301,,
877,California Ruderal Scrub,,9337,,
878,Californian Ruderal Forest,,9302,,
879,Caribbean & Mesoamerican Lowland Ruderal Grassland,,9803,,
880,Caribbean & Mesoamerican Lowland Ruderal Shrubland,,9303,,
881,Caribbean Bush fruit and berries,,7838,,
882,Caribbean Coastal Dry Evergreen Forest,,7860,,
883,Caribbean Coastal Mangrove,,7861,,
884,Caribbean Coastal Rocky Shore,,7862,,
885,Caribbean Coastal Thornscrub,,7863,,
886,Caribbean Dry Karst Shrubland,,7864,,
887,"Caribbean Edapho-Xerophilous ""Mogote"" Complex",,7865,,
888,Caribbean Emergent Herbaceous Estuary,,7866,,
889,Caribbean Estuary Mangrove,,7867,,
890,Caribbean Floodplain Forest,,7868,,
891,Caribbean Floodplain Shrubland,,7887,,
892,Caribbean Forest Plantation,,9304,,
893,Caribbean Freshwater Marsh,,7869,,
894,Caribbean Lowland Moist Serpentine Woodland,,7870,,
895,Caribbean Lowland Ruderal Rainforest,,9340,,
896,Caribbean Montane Meadow,,7871,,
897,Caribbean Montane Ruderal Forest,,9341,,
898,Caribbean Montane Wet Elfin Forest,,7872,,
899,Caribbean Montane Wet Serpentine Woodland,,7873,,
900,Caribbean Montane Wet Short Shrubland,,7874,,
901,Caribbean Riparian Forest,,7875,,
902,Caribbean Riparian Shrubland,,7888,,
903,Caribbean Ruderal Dry Forest,,9305,,
904,Caribbean Ruderal Freshwater Wet Meadow & Marsh,,9354,,
905,Caribbean Salt Flat and Pond,,7876,,
906,Caribbean Sand Beach Vegetation,,7877,,
907,Caribbean Sand Savanna,,7878,,
908,Caribbean Seasonal Evergreen Lowland Forest,,7879,,
909,Caribbean Seasonal Evergreen Submontane/Lowland Forest,,7880,,
910,Caribbean Semi-deciduous Lowland Forest,,7881,,
911,Caribbean Serpentine Dry Scrub,,7882,,
912,Caribbean Submontane/Montane Karstic Forest,,7883,,
913,Caribbean Wet Montane Forest,,7884,,
914,Caribbean Wet Submontane/Lowland Forest,,7885,,
915,Central and Southern Polynesian Cliff,,4615,,
916,Central and Southern Polynesian Cloud Forest,,4620,,
917,Central and Southern Polynesian Coastal Wooded Strand,,4614,,
918,Central and Southern Polynesian Dry Coastal Strand,,4617,,
919,Central and Southern Polynesian Dry Coastal Strand Herbaceous,,4628,,
920,Central and Southern Polynesian Dry Coastal Strand Shrubland,,4627,,
921,Central and Southern Polynesian Lava Flow,,4616,,
922,Central and Southern Polynesian Littoral Forest,,4621,,
923,Central and Southern Polynesian Lowland Rain Forest,,4618,,
924,Central and Southern Polynesian Montane Rainforest,,4606,,
925,Central and Southern Polynesian Ravine and Riparian Forest,,4622,,
926,Central and Southern Polynesian Swamp Forest,,4623,,
927,Central Appalachian Oak Rocky Woodland,,7556,,
928,Central Appalachian Pine Rocky Woodland,,7377,,
929,Central Appalachian Pine-Oak Rocky Woodland,,7557,,
930,Central Appalachian River Floodplain Forest,,9059,,
931,Central Appalachian River Floodplain Herbaceous,,9561,,
932,Central Appalachian River Floodplain Shrubland,,9559,,
933,Central Appalachian Stream and Riparian Herbaceous,,9562,,
934,Central Appalachian Stream and Riparian Shrubland,,9560,,
935,Central Appalachian Stream and Riparian Woodland,,9060,,
936,Central Atlantic Coastal Plain Sandy Beach,,9061,,
937,Central California Coast Ranges Cliff and Canyon,,9062,,
938,Central Florida Herbaceous Pondshore,,7514,,
939,Central Florida Pine Wet Flatwoods,,7547,,
940,Central Florida Wet Prairie and Herbaceous Seep,,9063,,
941,Central Interior Acidic Cliff and Talus,,9064,,
942,Central Interior Calcareous Cliff and Talus,,9065,,
943,Central Interior Highlands and Appalachian Sinkhole and Depression Pond,,9066,,
944,Central Texas Coastal Prairie Riparian Forest,,9068,,
945,Central Texas Coastal Prairie Riparian Herbaceous,,9570,,
946,Central Texas Coastal Prairie Riparian Shrubland,,9568,,
947,Central Texas Coastal Prairie River Floodplain Forest,,9069,,
948,Central Texas Coastal Prairie River Floodplain Herbaceous,,9571,,
949,Central Texas Coastal Prairie River Floodplain Shrubland,,9569,,
950,Colorado Plateau Mixed Bedrock Canyon and Tableland,,9001,,
951,Colorado Plateau Pinyon-Juniper Shrubland,,7102,,
952,Columbia Basin Foothill Riparian Herbaceous,,9504,,
953,Columbia Basin Foothill Riparian Shrubland,,9502,,
954,Columbia Basin Foothill Riparian Woodland,,9002,,
955,Columbia Bottomlands Forest and Woodland,,9071,,
956,Columbia Plateau Ash and Tuff Badland,,9032,,
957,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,,9030,,
958,Cumberland Acidic Cliff and Rockhouse,,9073,,
959,Cumberland Seepage Forest,,9075,,
960,East Cascades Oak-Ponderosa Pine Forest and Woodland,,7263,,
961,East Gulf Coastal Plain Depression Pondshore,,9077,,
962,East Gulf Coastal Plain Freshwater Tidal Wooded Swamp,,9080,,
963,East Gulf Coastal Plain Large River Floodplain Forest,,9082,,
964,East Gulf Coastal Plain Large River Floodplain Herbaceous,,9583,,
965,East Gulf Coastal Plain Large River Floodplain Shrubland,,9582,,
966,East Gulf Coastal Plain Near-Coast Pine Wet Flatwoods,,7545,,
967,East Gulf Coastal Plain Northern Seepage Swamp,,9083,,
968,East Gulf Coastal Plain Small Stream and River Floodplain Forest,,9085,,
969,East Gulf Coastal Plain Small Stream and River Floodplain Herbaceous,,9586,,
970,East Gulf Coastal Plain Small Stream and River Floodplain Shrubland,,9585,,
971,East Gulf Coastal Plain Wet Prairie,,7485,,
972,East Gulf Coastal Plain Wet Savanna,,7578,,
973,East-Central Texas Plains Xeric Sandyland,,7424,,
974,Eastern Cool Temperate Developed Ruderal Deciduous Forested Wetland,,7950,,
975,Eastern Cool Temperate Developed Ruderal Evergreen Forested Wetland,,7951,,
976,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,,7954,,
977,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,,7952,,
978,Eastern Cool Temperate Developed Ruderal Shrub Wetland,,7953,,
979,Eastern Cool Temperate Row Crop-Close Grown Crop,,7973,,
980,Eastern Warm Temperate Developed Ruderal Deciduous Forested Wetland,,7955,,
981,Eastern Warm Temperate Developed Ruderal Evergreen Forested Wetland,,7956,,
982,Eastern Warm Temperate Developed Ruderal Herbaceous Wetland,,7959,,
983,Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland,,7957,,
984,Eastern Warm Temperate Developed Ruderal Shrub Wetland,,7958,,
985,Eastern Warm Temperate Row Crop-Close Grown Crop,,7993,,
986,Eastern Warm Temperate Urban Deciduous Forest,,7915,,
987,Eastern Warm Temperate Urban Evergreen Forest,,7916,,
988,Eastern Warm Temperate Urban Herbaceous,,7918,,
989,Eastern Warm Temperate Urban Mixed Forest,,7917,,
990,Eastern Warm Temperate Urban Shrubland,,7919,,
991,Edwards Plateau Cliff,,9091,,
992,Edwards Plateau Floodplain Terrace Forest and Woodland,,9092,,
993,Edwards Plateau Floodplain Terrace Herbaceous,,9593,,
994,Edwards Plateau Floodplain Terrace Shrubland,,9592,,
995,Edwards Plateau Limestone Savanna and Woodland,,7383,,
996,Edwards Plateau Riparian Forest and Woodland,,7525,,
997,Edwards Plateau Riparian Herbaceous,,7564,,
998,Florida Big Bend Fresh and Oligohaline Tidal Marsh,,9094,,
999,Florida Big Bend Salt and Brackish Tidal Marsh,,9095,,
1000,Florida Dry Prairie Shrubland,,7566,,
1001,Florida Panhandle Beach Vegetation,,9097,,
1002,Florida River Floodplain Marsh,,9098,,
1003,Floridian Highlands Freshwater Marsh,,7489,,
1004,Great Basin & Intermountain Introduced Annual and Biennial Forbland,,9307,,
1005,Great Basin & Intermountain Introduced Annual Grassland,,9308,,
1006,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,,9309,,
1007,Great Basin & Intermountain Ruderal Shrubland,,9336,,
1008,Great Basin Foothill and Lower Montane Riparian Herbaceous,,9505,,
1009,Great Basin Foothill and Lower Montane Riparian Shrubland,,9503,,
1010,Great Basin Foothill and Lower Montane Riparian Woodland,,9003,,
1011,Great Lakes Acidic Rocky Shore and Cliff,,9099,,
1012,Great Lakes Alkaline Rocky Shore and Cliff,,9100,,
1013,Great Lakes Alvar,,7409,,
1014,Great Lakes Dune,,9101,,
1015,Great Lakes Dune Grassland,,9601,,
1016,Great Lakes Freshwater Estuary and Delta,,9102,,
1017,Great Plains Comanchian Ruderal Grassland,,9825,,
1018,Great Plains Comanchian Ruderal Shrubland,,9325,,
1019,Great Plains Wooded Draw and Ravine Shrubland,,7396,,
1020,Great Plains Wooded Draw and Ravine Woodland,,7385,,
1021,Gulf Coast Chenier Plain Beach,,9103,,
1022,Mississippi Delta Fresh and Oligohaline Tidal Marsh,,9136,,
1023,Mississippi Delta Salt and Brackish Tidal Marsh,,9137,,
1024,Mississippi Sound Fresh and Oligohaline Tidal Marsh,,9142,,
1025,Mississippi Sound Salt and Brackish Tidal Marsh,,9143,,
1026,Hawai'i Alpine Bedrock and Scree,,7829,,
1027,Hawai'i Dry Coastal Strand Shrubland,,7826,,
1028,Hawai'i Dry Coastal Strand Sparse Vegetation,,7830,,
1029,Hawai'i Dry-Site Lava Flow,,7831,,
1030,Hawai'i Floodplain Forest,,7800,,
1031,Hawai'I Floodplain Shrubland,,7832,,
1032,Hawai'i Freshwater Marsh,,7804,,
1033,Hawai'i Mesic Coastal Forest,,7812,,
1034,Hawai'i Riparian Forest,,7802,,
1035,Hawai'i Riparian Shrubland,,7833,,
1036,Hawaiian Montane Ruderal Forest & Woodland,,9343,,
1037,Hawaiian Ruderal Coastal Salt Marsh,,9344,,
1038,Hawaiian Ruderal Flooded & Swamp Forest,,9345,,
1039,Hawaiian Ruderal Freshwater Wet Meadow & Marsh,,9346,,
1040,Hawaiian Ruderal Mangrove,,9347,,
1041,High Allegheny Wetland,,9106,,
1042,Interior West Ruderal Riparian Forest,,9327,,
1043,Interior West Ruderal Riparian Scrub,,9827,,
1044,Interior Western North American Temperate Ruderal Grassland,,9828,,
1045,Interior Western North American Temperate Ruderal Shrubland,,9328,,
1046,Inter-Mountain Basins Active and Stabilized Dune,,9004,,
1047,Inter-Mountain Basins Alkaline Closed Depression,,9005,,
1048,Inter-Mountain Basins Cliff and Canyon,,9006,,
1049,Inter-Mountain Basins Playa,,9008,,
1050,Inter-Mountain Basins Shale Badland,,9009,,
1051,Inter-Mountain Basins Volcanic Rock and Cinder Land,,9033,,
1052,Inter-Mountain Basins Wash,,9010,,
1053,Klamath-Siskiyou Cliff and Outcrop,,9110,,
1054,Klamath-Siskiyou Xeromorphic Serpentine Chaparral,,7270,,
1055,Klamath-Siskiyou Xeromorphic Serpentine Savanna,,7170,,
1056,Laurentian Acidic Rocky Outcrop Shrubland,,9611,,
1057,Laurentian Acidic Rocky Outcrop Woodland,,9111,,
1058,Laurentian Jack Pine-Red Pine Forest,,9112,,
1059,Laurentian-Acadian Acidic Cliff and Talus,,9113,,
1060,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,,7481,,
1061,Laurentian-Acadian Alkaline Fen,,9114,,
1062,Laurentian-Acadian Calcareous Cliff and Talus,,9115,,
1063,Laurentian-Acadian Calcareous Rocky Outcrop Shrubland,,9616,,
1064,Laurentian-Acadian Calcareous Rocky Outcrop Woodland,,9116,,
1065,Laurentian-Acadian Freshwater Marsh,,9118,,
1066,Laurentian-Acadian Lakeshore Beach,,9119,,
1067,Laurentian-Acadian Northern Pine-(Oak) Forest,,7239,,
1068,Laurentian-Acadian Shrub Swamp,,9620,,
1069,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,,7301,,
1070,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,,9088,,
1071,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,,9295,,
1072,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,,9089,,
1073,Laurentian-Acadian Wet Meadow,,9120,,
1074,Llano Estacado Caprock Escarpment and Breaks Shrubland and Steppe,,9121,,
1075,Louisiana Beach,,9122,,
1076,Madrean Mesic Canyon Forest and Woodland,,9289,,
1077,Mediterranean California Alpine Bedrock and Scree,,9125,1,0
1078,Mediterranean California Foothill and Lower Montane Riparian Shrubland,,9629,1,0
1079,Mediterranean California Foothill and Lower Montane Riparian Woodland,,9129,0.44,0.025
1080,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,,7261,,
1081,Mediterranean California Mesic Serpentine Chaparral,,7234,,
1082,Mediterranean California Mesic Serpentine Woodland,,7034,,
1083,Mediterranean California Northern Coastal Dune,,9130,,
1084,Mediterranean California Serpentine Foothill and Lower Montane Riparian Shrubland and Seep,,9633,,
1085,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,,9133,,
1086,Mediterranean California Southern Coastal Dune,,9134,,
1087,Micronesian Dry Cliff,,4601,,
1088,Micronesian Dry Coastal Strand,,4603,,
1089,Micronesian Dry Coastal Strand Herbaceous,,4630,,
1090,Micronesian Dry Coastal Strand Shrubland,,4629,,
1091,Micronesian Dry-Site Lava Flow,,4602,,
1092,Micronesian Lowland Limestone Forest,,4605,,
1093,Micronesian Lowland Rain Forest,,4604,,
1094,Micronesian Ravine and Riparian Forest,,4609,,
1095,Micronesian Ravine and Riparian Shrubland,,4624,,
1096,Micronesian Swamp Forest,,4611,,
1097,Northern Atlantic Coastal Plain Brackish Tidal Marsh,,9189,,
1098,Northern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,,9191,,
1099,Mississippi River Bottomland Depression,,9138,,
1100,Mississippi River High Floodplain (Bottomland) Forest,,9139,,
1101,Mississippi River High Floodplain (Bottomland) Herbaceous,,9641,,
1102,Mississippi River High Floodplain (Bottomland) Shrubland,,9639,,
1103,Mississippi River Low Floodplain (Bottomland) Forest,,9140,,
1104,Mississippi River Low Floodplain (Bottomland) Herbaceous,,9642,,
1105,Mississippi River Low Floodplain (Bottomland) Shrubland,,9640,,
1106,Mississippi River Riparian Forest,,9141,,
1107,Northern Atlantic Coastal Plain Tidal Salt Marsh,,9197,,
1108,Southern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,,9241,,
1109,North American Arid West Emergent Marsh,,9011,,
1110,North American Glacier and Ice Field,,7735,,
1111,North American Warm Desert Active and Stabilized Dune,,9145,,
1112,North American Warm Desert Badland,,9146,,
1113,North American Warm Desert Bedrock Cliff and Outcrop,,9147,,
1114,North American Warm Desert Cienega,,9148,,
1115,North American Warm Desert Lower Montane Riparian Shrubland,,9535,,
1116,North American Warm Desert Lower Montane Riparian Woodland,,9035,,
1117,North American Warm Desert Pavement,,9150,,
1118,North American Warm Desert Playa,,9151,,
1119,North American Warm Desert Riparian Mesquite Bosque Shrubland,,9652,,
1120,North American Warm Desert Riparian Mesquite Bosque Woodland,,9152,,
1121,North American Warm Desert Riparian Shrubland,,9534,,
1122,North American Warm Desert Riparian Woodland,,9034,,
1123,North American Warm Desert Ruderal & Planted Grassland,,9810,,
1124,North American Warm Desert Ruderal & Planted Scrub,,9310,,
1125,North American Warm Desert Volcanic Rockland,,9153,,
1126,North American Warm Desert Wash Shrubland,,9654,,
1127,North American Warm Desert Wash Woodland,,9154,,
1128,North Pacific Active Volcanic Rock and Cinder Land,,9160,,
1129,North Pacific Alpine and Subalpine Bedrock and Scree,,7734,,
1130,North Pacific Broadleaf Landslide Forest,,7063,,
1131,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,,7068,,
1132,North Pacific Dry and Mesic Alpine Fell-field or Meadow,,7069,,
1133,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,,7035,,
1134,North Pacific Hardwood-Conifer Swamp,,9165,,
1135,North Pacific Herbaceous Bald and Bluff,,9166,,
1136,North Pacific Hypermaritime Herbaceous Headland,,9167,,
1137,North Pacific Hypermaritime Shrub Headland,,9667,,
1138,North Pacific Lowland Mixed Hardwood-Conifer Forest,,9170,,
1139,North Pacific Lowland Riparian Forest,,7156,,
1140,North Pacific Lowland Riparian Shrubland,,7157,,
1141,North Pacific Maritime Coastal Sand Dune and Strand,,9171,,
1142,North Pacific Maritime Coastal Sand Dune Ruderal Herb Vegetation,,9811,,
1143,North Pacific Maritime Coastal Sand Dune Ruderal Scrub,,9311,,
1144,North Pacific Montane Massive Bedrock-Cliff and Talus,,7733,,
1145,North Pacific Montane Riparian Shrubland,,7159,,
1146,North Pacific Montane Riparian Woodland,,7158,,
1147,North Pacific Seasonal Sitka Spruce Forest,,7036,,
1148,North Pacific Shrub Swamp,,7663,,
1149,North-Central Appalachian Acidic Cliff and Talus,,9173,,
1150,North-Central Appalachian Acidic Swamp,,9174,,
1151,North-Central Appalachian Circumneutral Cliff and Talus,,9175,,
1152,North-Central Appalachian Seepage Fen,,9176,,
1153,North-Central Interior and Appalachian Acidic Peatland Shrubland,,9677,,
1154,North-Central Interior and Appalachian Acidic Peatland Woodland,,9177,,
1155,North-Central Interior and Appalachian Rich Swamp,,9178,,
1156,North-Central Interior Floodplain Forest,,9179,,
1157,North-Central Interior Floodplain Shrubland,,9679,,
1158,North-Central Interior Freshwater Marsh,,9180,,
1159,North-Central Interior Graminoid Alkaline Fen,,9682,,
1160,North-Central Interior Quartzite Glade,,9181,,
1161,North-Central Interior Shrub Alkaline Fen,,9182,,
1162,North-Central Interior Shrub Swamp,,9183,,
1163,North-Central Interior Wet Meadow,,9683,,
1164,Northeastern Erosional Bluff,,9184,,
1165,Northeastern Interior Calcareous Oak Forest,,9288,,
1166,Northeastern North American Temperate Forest Plantation,,9312,,
1167,Northern & Central Native Ruderal Flooded & Swamp Forest,,9314,,
1168,Northern & Central Native Ruderal Forest,,9315,,
1169,Northern & Central Plains Ruderal & Planted Grassland,,9816,,
1170,Northern & Central Plains Ruderal & Planted Shrubland,,9316,,
1171,Northern & Central Ruderal Meadow,,9817,,
1172,Northern & Central Ruderal Shrubland,,9317,,
1173,Northern & Central Ruderal Wet Meadow & Marsh,,9318,,
1174,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,,9185,,
1175,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,,9686,,
1176,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,,9186,,
1177,Northern Atlantic Coastal Plain Basin Peat Swamp,,9187,,
1178,Northern Atlantic Coastal Plain Basin Swamp and Wet Hardwood Forest,,9188,,
1179,Southern Atlantic Coastal Plain Salt and Brackish Tidal Marsh,,9243,,
1180,Northern Atlantic Coastal Plain Calcareous Ravine,,9190,,
1181,Gulf Coast Chenier Plain Fresh and Oligohaline Tidal Marsh,,9104,,
1182,Northern Atlantic Coastal Plain Pond,,9192,,
1183,Northern Atlantic Coastal Plain Riparian and Floodplain Forest,,9195,,
1184,Northern Atlantic Coastal Plain Riparian and Floodplain Herbaceous,,9696,,
1185,Northern Atlantic Coastal Plain Riparian and Floodplain Shrubland,,9695,,
1186,Northern Atlantic Coastal Plain Sandy Beach,,9193,,
1187,Gulf Coast Chenier Plain Fresh and Oligohaline Tidal Marsh Shrubland,,9604,,
1188,Northern Atlantic Coastal Plain Tidal Swamp,,9198,,
1189,Northern Great Lakes Coastal Marsh,,9202,,
1190,Northern Great Lakes Interdunal Wetland,,9203,,
1191,Northern Polynesia Tidal Salt Marsh,,7807,,
1192,Northern Rocky Mountain Lower Montane Riparian Shrubland,,9512,,
1193,Northern Rocky Mountain Lower Montane Riparian Woodland,,9012,,
1194,Northern Rocky Mountain Western Larch Savanna,,7010,,
1195,Northwestern Great Plains Floodplain Forest and Woodland,,9014,,
1196,Northwestern Great Plains Floodplain Herbaceous,,9514,,
1197,Northwestern Great Plains Floodplain Shrubland,,9513,,
1198,Northwestern Great Plains Riparian Forest ,,9015,,
1199,Northwestern Great Plains Riparian Herbaceous,,9516,,
1200,Northwestern Great Plains Riparian Shrubland,,9515,,
1201,Ouachita Novaculite Glade and Woodland,,7505,,
1202,Ozark-Ouachita Riparian Forest,,9207,,
1203,Ozark-Ouachita Riparian Herbaceous,,9708,,
1204,Ozark-Ouachita Riparian Shrubland,,9707,,
1205,Panhandle Florida Limestone Glade,,9208,,
1206,Piedmont Seepage Wetland,,9209,,
1207,Piedmont Upland Depression Swamp,,9210,,
1208,Polynesian Freshwater Marsh,,4610,,
1209,Polynesian Ruderal Dry Scrub,,9848,,
1210,Polynesian Ruderal Dry Woodland,,9348,,
1211,Polynesian Ruderal Herb Coastal Strand,,9851,,
1212,Polynesian Ruderal Lowland Grassland,,9850,,
1213,Polynesian Ruderal Lowland Rainforest,,9349,,
1214,Polynesian Ruderal Lowland Shrubland,,9350,,
1215,Polynesian Ruderal Scrub Coastal Strand,,9351,,
1216,Polynesian Ruderal Subalpine-Montane Grassland,,9852,,
1217,Polynesian Ruderal Subalpine-Montane Shrubland,,9352,,
1218,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,,7295,,
1220,Recently Burned-Tree Cover,,7197,,
1221,Recently Disturbed Other-Herb and Grass Cover,,7198,,
1222,Recently Disturbed Other-Shrub Cover,,7199,,
1224,Red River Large Floodplain Forest,,9211,,
1225,Rocky Mountain Alpine Bedrock and Scree,,9016,,
1226,Rocky Mountain Alpine-Montane Wet Meadow,,9017,,
1227,Rocky Mountain Cliff Canyon and Massive Bedrock,,9018,,
1228,Rocky Mountain Lower Montane-Foothill Riparian Shrubland,,9519,,
1229,Rocky Mountain Lower Montane-Foothill Riparian Woodland,,9019,,
1230,Rocky Mountain Subalpine-Montane Riparian Shrubland,,9021,,
1231,Rocky Mountain Subalpine-Montane Riparian Woodland,,9022,,
1232,Sierra Nevada Cliff and Canyon,,9213,1,0
1233,South Florida Bayhead Swamp,,9216,,
1234,South Florida Dwarf Cypress Savanna,,7445,,
1235,South Florida Hydric Hammock,,9218,,
1236,South Florida Pine Rockland,,7360,,
1237,South Florida Pine Wet Flatwoods,,7548,,
1238,South Florida Pond-apple/Popash Slough,,9220,,
1239,South Florida Shell Hash Beach,,9221,,
1240,South Florida Slough Gator Hole and Willow Head Herbaceous,,9222,,
1241,South Florida Slough Gator Hole and Willow Head Woodland,,9722,,
1242,South Florida Wet Marl Prairie,,7484,,
1243,South Texas Salt and Brackish Tidal Flat,,7500,,
1244,South-Central Interior Large Floodplain Forest,,9223,,
1245,South-Central Interior Large Floodplain Herbaceous,,9725,,
1246,South-Central Interior Large Floodplain Shrubland,,9723,,
1247,South-Central Interior Small Stream and Riparian Forest,,9224,,
1248,South-Central Interior Small Stream and Riparian Herbaceous,,9726,,
1249,South-Central Interior Small Stream and Riparian Shrubland,,9724,,
1250,Southeast Florida Beach,,9226,,
1251,Southeast Florida Coastal Strand Shrubland,,7472,,
1252,Southeast Florida Maritime Hammock,,7337,,
1253,Southeastern Coastal Plain Cliff,,9227,,
1254,Southeastern Coastal Plain Interdunal Wetland,,9228,,
1255,Southeastern Coastal Plain Natural Lakeshore,,9229,,
1256,Southeastern Exotic Ruderal Flooded & Swamp Forest,,9332,,
1257,Southeastern Exotic Ruderal Forest,,9319,,
1258,Southeastern Great Plains Cliff,,9290,,
1259,Southeastern Great Plains Floodplain Forest and Woodland,,9230,,
1260,Southeastern Great Plains Floodplain Herbaceous,,9732,,
1261,Southeastern Great Plains Floodplain Shrubland,,9730,,
1262,Southeastern Great Plains Riparian Forest and Woodland,,9231,,
1263,Southeastern Great Plains Riparian Herbaceous,,9733,,
1264,Southeastern Great Plains Riparian Shrubland,,9731,,
1265,Southeastern Native Ruderal Flooded & Swamp Forest,,9320,,
1266,Southeastern Native Ruderal Forest,,9321,,
1267,Southeastern North American Temperate Forest Plantation,,9322,,
1268,Southeastern Ruderal Grassland,,9823,,
1269,Southeastern Ruderal Shrubland,,9323,,
1270,Southeastern Ruderal Wet Meadow & Marsh,,9324,,
1271,Southern and Central Appalachian Bog and Fen,,9232,,
1272,Southern and Central Appalachian Mafic Glade and Barrens,,9233,,
1273,Southern Appalachian Granitic Dome,,9234,,
1274,Southern Appalachian Seepage Wetland,,9237,,
1275,Southern Atlantic Coastal Plain Depression Pondshore,,9239,,
1276,Southern Atlantic Coastal Plain Florida Beach,,9240,,
1277,Gulf Coast Chenier Plain Salt and Brackish Tidal Marsh,,9105,,
1278,Southern Atlantic Coastal Plain Large River Floodplain Forest,,9242,,
1279,Southern Atlantic Coastal Plain Large River Floodplain Herbaceous,,9743,,
1280,Southern Atlantic Coastal Plain Large River Floodplain Shrubland,,9742,,
1281,Gulf Coast Chenier Plain Salt and Brackish Tidal Marsh Shrubland,,9605,,
1282,Southern Atlantic Coastal Plain Sea Island Beach,,9244,,
1283,Southern Atlantic Coastal Plain Tidal Wooded Swamp,,9245,,
1284,Southern California Coast Ranges Cliff and Canyon,,9246,,
1285,Southern Coastal Plain Blackwater River Floodplain Forest,,9247,,
1286,Southern Coastal Plain Herbaceous Seep and Bog,,7515,,
1287,Southern Coastal Plain Hydric Hammock,,9248,,
1288,Southern Coastal Plain Nonriverine Basin Swamp,,9249,,
1289,Southern Coastal Plain Nonriverine Cypress Dome,,7460,,
1290,Southern Coastal Plain Oak Dome and Hammock,,9250,,
1291,Southern Coastal Plain Sinkhole,,9251,,
1292,Southern Piedmont Dry Oak-(Pine) Forest,,7448,,
1293,Southern Piedmont Glade and Barrens,,9256,,
1294,Southern Piedmont Granite Flatrock and Outcrop,,9257,,
1295,Southern Piedmont Large Floodplain Forest,,9258,,
1296,Southern Piedmont Large Floodplain Herbaceous,,9760,,
1297,Southern Piedmont Large Floodplain Shrubland,,9758,,
1298,Southern Piedmont Small Floodplain and Riparian Forest,,9259,,
1299,Southern Piedmont Small Floodplain and Riparian Herbaceous,,9761,,
1300,Southern Piedmont Small Floodplain and Riparian Shrubland,,9759,,
1301,Southern Ridge and Valley Calcareous Glade and Woodland,,9260,,
1302,Southern Ridge and Valley Seepage Fen,,9261,,
1303,Southern Vancouverian Lowland Ruderal Grassland,,9826,,
1304,Southern Vancouverian Lowland Ruderal Shrubland,,9326,,
1305,Southwest Florida Beach,,9262,,
1306,Southwest Florida Coastal Strand Shrubland,,7471,,
1307,Southwest Florida Dune and Coastal Grassland,,7431,,
1308,Southwest Florida Maritime Hammock,,7336,,
1309,Southwestern Great Plains Canyon,,9265,,
1310,Stabilized Caribbean Dunes,,7886,,
1311,Sugar Cane,,7837,,
1312,Tamaulipan Closed Depression Wetland Shrubland,,9766,,
1313,Tamaulipan Closed Depression Wetland Woodland,,9266,,
1314,Tamaulipan Floodplain Herbaceous ,,7475,,
1315,Tamaulipan Floodplain Shrubland,,7474,,
1316,Tamaulipan Floodplain Woodland,,7467,,
1317,Tamaulipan Lomas,,7439,,
1318,Tamaulipan Mesquite Upland Scrub,,7560,,
1319,Tamaulipan Mesquite Upland Woodland,,7391,,
1320,Tamaulipan Ramadero,,9268,,
1321,Tamaulipan Riparian Herbaceous,,7573,,
1322,Tamaulipan Saline Thornscrub,,9270,,
1323,Temperate Pacific Freshwater Emergent Marsh,,7662,,
1324,Temperate Pacific Subalpine-Montane Wet Meadow,,9272,1,0
1325,Temperate Pacific Tidal Salt and Brackish Marsh,,7668,,
1326,Texas Coast Beach,,9273,,
1327,Texas Coast Dune and Coastal Grassland,,7437,,
1328,Texas Coast Fresh and Oligohaline Tidal Marsh,,9274,,
1329,Texas Coast Fresh and Oligohaline Tidal Marsh Shrubland,,9774,,
1330,Texas Coast Salt and Brackish Tidal Marsh,,9275,,
1331,Texas Coast Salt and Brackish Tidal Marsh Shrubland,,9775,,
1332,Texas-Louisiana Coastal Prairie Pondshore,,7487,,
1333,Tropical Agroforestry Plantation,,9355,,
1334,Tropical Pacific Aquaculture,,7836,,
