,CLASSNAME,landfire140,landfire200,tau,k
333,Northern and Central California Dry-Mesic Chaparral,3105,7105,1,0
335,California Mesic Chaparral,3097,7097,1,0
337,California Montane Woodland and Chaparral,3098,7098,1,0
338,California Xeric Serpentine Chaparral,3099,7099,1,0
340,Mojave Mid-Elevation Mixed Desert Scrub,3082,7082,1,0
342,Sierra Nevada Alpine Dwarf-Shrubland,3071,7071,1,0
343,Mediterranean California Alpine Dry Tundra,3136,7136,1,0
347,Mediterranean California Subalpine Meadow,3137,7137,1,0
348,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,3139,7139,1,0
349,Northern Rocky Mountain Subalpine-Upper Montane Grassland,3140,7140,1,0
350,Inter-Mountain Basins Big Sagebrush Steppe,3125,7125,1,0
351,Inter-Mountain Basins Montane Sagebrush Steppe,3126,7126,1,0
352,Inter-Mountain Basins Big Sagebrush Shrubland,3080,7080,1,0
353,Inter-Mountain Basins Semi-Desert Shrub-Steppe,3127,7127,1,0
354,Colorado Plateau Mixed Low Sagebrush Shrubland,3064,7064,1,0
357,Columbia Plateau Low Sagebrush Steppe,3124,7124,1,0
358,Rocky Mountain Subalpine-Montane Mesic Meadow,3145,7145,1,0
359,Rocky Mountain Alpine Dwarf-Shrubland,3070,7070,1,0
360,Rocky Mountain Alpine Fell-Field,3143,7143,1,0
361,Rocky Mountain Alpine Turf,3144,7144,1,0
362,Southern Rocky Mountain Montane-Subalpine Grassland,3146,7146,1,0
365,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,3107,7107,1,0
367,Inter-Mountain Basins Mixed Salt Desert Scrub,3081,7081,1,0
368,Sonora-Mojave Mixed Salt Desert Scrub,3088,7088,1,0
372,Rocky Mountain Lower Montane-Foothill Shrubland,3086,7086,1,0
373,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3106,7106,1,0
375,Inter-Mountain Basins Greasewood Flat,3153,7153,1,0
376,Inter-Mountain Basins Semi-Desert Grassland,3135,7135,1,0
377,Great Basin Semi-Desert Chaparral,3103,7103,1,0
379,Sonora-Mojave Semi-Desert Chaparral,3108,7108,1,0
397,Southern Colorado Plateau Sand Shrubland,3093,7093,1,0
450,Western Cool Temperate Undeveloped Ruderal Shrubland,3943,,1,0
451,Western Cool Temperate Undeveloped Ruderal Grassland,3944,,1,0
455,Western Warm Temperate Undeveloped Ruderal Shrubland,3948,,1,0
456,Western Warm Temperate Undeveloped Ruderal Grassland,3949,,1,0
477,Inter-Mountain Basins Sparsely Vegetated Systems,3001,,1,0
478,Mediterranean California Sparsely Vegetated Systems,3002,,1,0
480,North American Warm Desert Sparsely Vegetated Systems,3004,,1,0
481,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,3006,,1,0
484,Inter-Mountain Basins Sparsely Vegetated Systems II,3219,,1,0
485,Mediterranean California Sparsely Vegetated Systems II,3221,,1,0
486,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,3222,,1,0
525,Introduced Upland Vegetation-Annual Grassland,3181,,1,0
526,Introduced Upland Vegetation-Perennial Grassland and Forbland,3182,,1,0
527,Introduced Upland Vegetation-Annual and Biennial Forbland,3183,,1,0
528,California Annual Grassland,3184,,1,0
532,Introduced Riparian Shrubland,3259,,1,0
576,Western Warm Temperate Row Crop - Close Grown Crop,3983,,1,0
606,Snow-Ice,3293,,1,0
607,Barren,3294,,1,0
608,Quarries-Strip Mines-Gravel Pits,3295,,1,0
737,California Central Valley Riparian Herbaceous,3257,,1,0
738,Coleogyne ramosissima Shrubland Alliance,3210,,1,0
740,Artemisia tridentata ssp. vaseyana Shrubland Alliance,3220,,1,0
741,Quercus gambelii Shrubland Alliance,3217,,1,0
744,Rocky Mountain Wetland-Herbaceous,3164,,1,0
745,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,3252,,1,0
746,Arctostaphylos patula Shrubland Alliance,3214,,1,0
1219,Recently Burned-Shrub Cover,,7196,1,0
1223,Recently Disturbed Other-Tree Cover,,7200,1,0
1,Developed-Open Space,3767,7300,1,0
2,Developed-Low Intensity,3296,7296,1,0
3,Developed-Medium Intensity,3297,7297,1,0
4,Developed-High Intensity,3298,7298,1,0
10,Eastern Cool Temperate Urban Deciduous Forest,3905,7905,,
11,Eastern Cool Temperate Urban Evergreen Forest,3906,7906,,
12,Eastern Cool Temperate Urban Mixed Forest,3907,7907,,
13,Eastern Cool Temperate Urban Herbaceous,3908,7908,,
14,Eastern Cool Temperate Urban Shrubland,3909,7909,,
