veg,tau,k,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3135,1.0,0.0,Inter-Mountain Basins Semi-Desert Grassland,2135,He Inter-Mountain Basins Semi-Desert Grassland,Herb,617,Grassland,Grassland,SRM 502: Grama-Galetta,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3136,1.0,0.0,Mediterranean California Alpine Dry Tundra,2136,He Mediterranean California Alpine Dry Tundra,Herb,616,Grassland,Dry Tundra,SRM 213: Alpine Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3137,1.0,0.0,Mediterranean California Subalpine Meadow,2137,He Mediterranean California Subalpine Meadow,Herb,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 216: Montane Meadows,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3138,1.0,0.0,North Pacific Montane Grassland,2138,He North Pacific Montane Grassland,Herb,617,Grassland,Grassland,SRM 102: Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3139,1.0,0.0,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,2139,He Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Herb,617,Grassland,Grassland,SRM 311: Rough Fescue-Bluebunch Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3140,1.0,0.0,Northern Rocky Mountain Subalpine-Upper Montane Grassland,2140,He Northern Rocky Mountain Subalpine-Upper Montane Grassland,Herb,617,Grassland,Grassland,SRM 312: Rough Fescue-Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3145,1.0,0.0,Rocky Mountain Subalpine-Montane Mesic Meadow,2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,Herb,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 409: Tall Forb,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3151,0.4,0.025,California Central Valley Riparian Forest and Woodland,2151,Tr California Central Valley Riparian Woodland and Shrubland,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3152,0.3,0.033,California Montane Riparian Systems,2152,Tr California Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3153,1.0,0.0,Inter-Mountain Basins Greasewood Flat,2153,Sh Inter-Mountain Basins Greasewood Flat,Shrub,619,Shrubland,Greasewood Shrubland,SRM 501: Saltbush-Greasewood,Shrub-dominated,Shrubland,Evergreen shrubland
3154,0.2,0.04,Inter-Mountain Basins Montane Riparian Forest and Woodland,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3159,0.44,0.025,Rocky Mountain Montane Riparian Forest and Woodland,2159,Tr Rocky Mountain Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3181,1.0,0.0,Introduced Upland Vegetation-Annual Grassland,2181,He Introduced Upland Vegetation-Annual Grassland,Herb,702,Exotic Herbaceous,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3182,1.0,0.0,Introduced Upland Vegetation-Perennial Grassland and Forbland,2182,He Introduced Upland Vegetation-Perennial Grassland and Forbland,Herb,703,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3183,1.0,0.0,Introduced Upland Vegetation-Annual and Biennial Forbland,2183,He Introduced Upland Vegetation-Annual and Biennial Forbland,Herb,704,Exotic Herbaceous,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3184,1.0,0.0,California Annual Grassland,2184,He California Annual Grassland,Herb,702,Exotic Herbaceous,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3208,0.2,0.04,Abies concolor Forest Alliance,2208,Tr Abies concolor Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3211,0.3,0.033,Grayia spinosa Shrubland Alliance,2211,Sh Grayia spinosa Shrubland Alliance,Shrub,613,Shrubland,Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3219,1.0,0.0,Inter-Mountain Basins Sparsely Vegetated Systems II,2219,Sps Inter-Mountain Basins Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3220,1.0,0.0,Artemisia tridentata ssp. vaseyana Shrubland Alliance,2220,Sh Artemisia tridentata ssp. vaseyana Shrubland Alliance,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3221,1.0,0.0,Mediterranean California Sparsely Vegetated Systems II,2221,Sps Mediterranean California Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3227,0.2,0.04,Dry-mesic Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy
